Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
"26694187942,Regatas do Brasil Feminina Ribana Copa Bandeira BORDADA,""29,90"",986,Made.us,13%,""R$3,89"",https://shopee.com.br/product/603314742/26694187942,https://s.shopee.com.br/AUq4Sfm5za"
"23093256615,Calça Pantalona Feminina Alfaiataria com Bolso Fechamento Ziper na Frente,""58,99"",2mil+,Smile Label,18%,""R$10,62"",https://shopee.com.br/product/908267517/23093256615,https://s.shopee.com.br/AKWeGMmjKZ"
"21899834632,Conjunto Trijunto Feminino Inverno Tricot Mousse 3 Peças Elegante Mousse Premiun,""169,90"",2mil+,Atitude Malhas,13%,""R$22,09"",https://shopee.com.br/product/1467971563/21899834632,https://s.shopee.com.br/5VROVU588e"
"23798937319,Vestido Mídi Feminino Elegante Alfaiataria Festa Cerimônia Aniversário Missas Congressos Evangélico*,""79,99"",1mil+,NOVA LABEL.,10%,""R$8,00"",https://shopee.com.br/product/1206637959/23798937319,https://s.shopee.com.br/5L7yJB5lTd"
"42470077703,Vestido Midi Costas Trançadas Canelado Elegância e Versatilidade Moda Blogueira Verão,""49,90"",2mil+,Gringa Moda Fashion,16%,""R$7,98"",https://shopee.com.br/product/1281632409/42470077703,https://s.shopee.com.br/5q4Eu63rSk"
"25004788916,Moda Coreana Vintage Casaco Solto Mola De Outono Pólo De Manga Longa Duplo Peito Alto Midi Windbreaker,""144,76"",10mil+,COCO & LULU FASHION STORE,23%,""R$33,29"",https://shopee.com.br/product/393412132/25004788916,https://s.shopee.com.br/5fkohn4Unj"
"22698755316,""Conjunto feminino 3 peças Linho colete+cropedd+short.Vários tamanhos.Preto,Cru,Terracota e Menta."",""61,64"",2mil+,Moda e Magia MM,17%,""R$10,48"",https://shopee.com.br/product/1259308121/22698755316,https://s.shopee.com.br/6Ah5Ii2amq"
"21598262410,Calça Wide Leg Tecido Alfaiataria Casual Pantalona Bolso Verdadeiro Empina Bumbum Promoção,""49,90"",3mil+,Floriza moda,19%,""R$9,48"",https://shopee.com.br/product/1388314621/21598262410,https://s.shopee.com.br/60Nf6P3E7p"
"52707355082,Vestido longo casual básico feminino ribana manga canelada muscle fashion gringa preto marrom,""39,99"",242,Modas Emy,43%,""R$17,20"",https://shopee.com.br/product/1302734125/52707355082,https://s.shopee.com.br/6VJvhK1K6w"
"23094412543,SAIA LONGA 3 MARIAS CINTURA ALTA,""64,50"",3mil+,JHSTOTRE STORE,14%,""R$9,03"",https://shopee.com.br/product/1194697970/23094412543,https://s.shopee.com.br/6L0VV11xRv"
"20698271319,Conjunto Ziper Inverno Pantalona,""70,00"",79,PandaHMS,13%,""R$9,10"",https://shopee.com.br/product/1551697817/20698271319,https://s.shopee.com.br/6pwm5w03R2"
"58205694476,Blusa do Brasil Feminina Tricot Estilosa Elegante Tendência Copa Tricô,""59,90"",1mil+,Trend Tricot,13%,""R$7,79"",https://shopee.com.br/product/498322826/58205694476,https://s.shopee.com.br/6fdLtd0gm1"
"29784972820,Vestido Longo Listrado com Botões e Cinto - Manga Bufante - Modelo Elegante com Elastex,""69,83"",4mil+,modas_lia,7%,""R$4,89"",https://shopee.com.br/product/1091280090/29784972820,https://s.shopee.com.br/7AZcUXyml8"
